Trap;Lat;Long
AI01A01;-1.494902;-59.825783
AI01A02;-1.494748;-59.82583
AI01A03;-1.49433;-59.825973
AI01A04;-1.4932;-59.826457
AI01A05;-1.490637;-59.827104
AI01A06;-1.486401;-59.828226
AI01A07;-1.47755;-59.82964
AI02A01;-1.761405;-59.677537
AI02A02;-1.761406;-59.677384
AI02A03;-1.761418;-59.677014
AI02A04;-1.761235;-59.675806
AI02A05;-1.760645;-59.673089
AI03A01;-1.871804042;-59.6650085
AI03A02;-1.871685111;-59.66514311
AI03A03;-1.871387784;-59.66547963
AI03A04;-1.8706742;-59.66628727
AI03A05;-1.868890239;-59.66830639
AI03A06;-1.865916967;-59.67167158
AI08A01;-1.708479;-59.775896
AI08A02;-1.708578;-59.775888
AI08A03;-1.708978;-59.775964
AI08A04;-1.710066;-59.776147
AI08A05;-1.712788;-59.776684
AI08A06;-1.71733;-59.777603
AI10A01;-1.741025242;-59.45399722
AI10A02;-1.741031225;-59.45417678
AI10A03;-1.741046182;-59.45462569
AI10A04;-1.741082078;-59.45570307
AI12A01;-1.564775;-59.645265
AI12A02;-1.564667;-59.645427
AI12A03;-1.564421;-59.645833
AI12A04;-1.564399975;-59.64656351
AI12A05;-1.563604785;-59.64913838
AI12A06;-1.562279466;-59.65342982
AI13A02;-1.636504533;-59.75278122
AI13A03;-1.636930942;-59.75292183
AI13A04;-1.637954322;-59.75325928
AI13A05;-1.64051277;-59.75410291
AI13A06;-1.644844876;-59.75541845
AI15A01;-1.521547657;-59.82905394
AI15A02;-1.52137545;-59.82910496
AI15A03;-1.52094493;-59.82923249
AI15A04;-1.519911683;-59.82953857
AI15A05;-1.517328563;-59.83030377
AI15A06;-1.513023356;-59.83157911
AI15A07;-1.504412916;-59.83412978
AI18A01;-1.679683;-59.708055
AI18A02;-1.679838;-59.707905
AI18A03;-1.680116;-59.707569
AI18A04;-1.68085;-59.70676
AI18A05;-1.682911;-59.705065
AI19A01;-1.791642;-59.445706
AI19A02;-1.791695;-59.445625
AI19A03;-1.792028;-59.445209
AI19A04;-1.792454;-59.444362
AI19A05;-1.793954;-59.442155
AI19A06;-1.796222;-59.437751
AI20A01;-1.775501;-59.692408
AI20A02;-1.77552;-59.692217
AI20A03;-1.775768;-59.691803
AI20A04;-1.776112;-59.690716
