"","xmin","ymin","xmax","ymax","conf","class","img","fold","trap"
"3",3111.49291992188,1453.39389038086,3278.04470825195,1651.77029418945,0.963286936283112,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"4",3798.40846252441,778.893096923828,4080.37399291992,896.232513427734,0.962023258209229,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"6",1839.6748046875,589.910980224609,2219.02713012695,943.74479675293,0.961546182632446,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"7",2709.67431640625,2136.69641113281,2819.37978363037,2272.92642211914,0.960991024971008,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"8",1502.60101318359,2612.74127197266,1792.0082244873,3017.55113220215,0.959571182727814,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"9",513.028350830078,1168.07434082031,900,1350.66940307617,0.958893477916718,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"10",1356.0119934082,1447.12686157227,1485.9059753418,1565.71878051758,0.958586394786835,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"11",2026.47131347656,2402.90312767029,2214.69413757324,2689.75357055664,0.957282602787018,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"12",1360.48867797852,531.784851074219,1493.13488769531,644.267303466797,0.956030488014221,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"13",662.623168945312,1287.03918457031,831.946502685547,1633.98809814453,0.952681005001068,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"14",2273.39874267578,1714.48411560059,2491.05657958984,2055.09457397461,0.952418863773346,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"15",2027.2414932251,1481.5544128418,2212.65818786621,1665.96908569336,0.95139342546463,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"16",1600,135.605422973633,1756.87449645996,447.670074462891,0.951312065124512,"Ephemeroptera","AI01A01-B",1,"AI01A01"
"17",3507.48992919922,2551.73141479492,3563.26965332031,2609.55023193359,0.947394728660583,"Nematocera","AI01A01-B",1,"AI01A01"
"19",2408.46871757507,878.054809570312,2495.23199462891,917.692611694336,0.930003345012665,"Nematocera","AI01A01-B",1,"AI01A01"
"21",495.241714477539,320.770446777344,577.115753173828,445.058387756348,0.920796871185303,"Nematocera","AI01A01-B",1,"AI01A01"
"22",2418.98935508728,353.052093505859,2457.28992843628,399.048034667969,0.914352059364319,"Brachycera","AI01A01-B",2,"AI01A01"
"24",1554.62121582031,3142.12646484375,1651.09130859375,3239.72729492188,0.9136643409729,"Brachycera","AI01A01-B",2,"AI01A01"
"25",2493.17064666748,2493.68138122559,2741.82983398438,2884.61376953125,0.970053911209106,"Ephemeroptera","AI01A01-B",2,"AI01A01"
"28",3479.4580078125,2545.15649414062,3579.36328125,2616.2177734375,0.943051159381866,"Nematocera","AI01A01-B",2,"AI01A01"
"30",3619.53442382812,2316.70532226562,3834.841796875,2461.44287109375,0.907400548458099,"Nematocera","AI01A01-B",2,"AI01A01"
"31",2624.52435302734,1007.27052307129,2687.87371826172,1049.9774017334,0.902245700359344,"Nematocera","AI01A01-B",2,"AI01A01"
"33",449.999885559082,374.501739501953,555.400726318359,437.181491851807,0.898807108402252,"Nematocera","AI01A01-B",2,"AI01A01"
"34",2606.29418945312,1625.13427734375,2717.26440429688,1711.599609375,0.883910715579987,"Nematocera","AI01A01-B",2,"AI01A01"
"35",861.551429748535,353.731628417969,908.117225646973,424.795104980469,0.876128435134888,"Nematocera","AI01A01-B",2,"AI01A01"
"37",2041.33252334595,1124.21350097656,2080.83554077148,1169.99209594727,0.83724844455719,"Nematocera","AI01A01-B",2,"AI01A01"
"38",674.288543701172,339.112670898438,721.176086425781,378.752227783203,0.957205712795258,"Brachycera","AI01A01-B",3,"AI01A01"
"39",3797.82228088379,1625.78327560425,3834.90800476074,1671.53526306152,0.955774366855621,"Brachycera","AI01A01-B",3,"AI01A01"
"40",2522.78964233398,970.511703491211,2571.13800048828,1014.67366027832,0.953628242015839,"Brachycera","AI01A01-B",3,"AI01A01"
"42",4062.28366088867,498.306884765625,4120.29438018799,569.388961791992,0.950848698616028,"Brachycera","AI01A01-B",3,"AI01A01"
"43",2714.73416137695,3177.88232421875,2759.94082641602,3207.14741516113,0.950561583042145,"Brachycera","AI01A01-B",3,"AI01A01"
"44",1355.05517578125,1447.39875793457,1458.01348876953,1656.34881591797,0.974620997905731,"Ephemeroptera","AI01A01-B",3,"AI01A01"
