epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4692,1.50857,4.38366,1.67987,0.42278,0.19177,0.12472,0.07043,1.41587,3.03067,1.59504,9.408e-05,9.408e-05,9.408e-05
2,31.3008,1.34555,2.95081,1.48583,0.09695,0.33595,0.10459,0.05907,1.68204,9.44289,2.02161,0.000193272,0.000193272,0.000193272
3,44.4299,1.40756,2.48588,1.51994,0.00252,0.17735,0.00115,0.00048,2.65793,inf,8.54623,0.000291672,0.000291672,0.000291672
4,59.036,1.45938,2.29459,1.56479,0.00652,0.3579,0.00814,0.00334,1.94936,inf,5.3433,0.00038928,0.00038928,0.00038928
5,85.2173,1.44001,2.31481,1.5712,0,0,0,0,nan,nan,nan,0.000486096,0.000486096,0.000486096
6,98.2698,1.54853,2.36035,1.64925,0.00067,0.13023,0.00064,0.00019,3.10712,inf,7.01285,0.000576358,0.000576358,0.000576358
7,111.111,1.55102,2.35652,1.68156,0,0,0,0,4.77596,inf,292.131,0.000574029,0.000574029,0.000574029
8,123.845,1.49182,2.29767,1.5871,0.01531,0.31388,0.01506,0.00698,2.96872,inf,8.27726,0.000571701,0.000571701,0.000571701
9,136.595,1.50232,2.19937,1.62855,0.09433,0.14935,0.00746,0.00312,2.6113,61.9955,3.3746,0.000569372,0.000569372,0.000569372
10,149.555,1.46361,2.11763,1.59165,0.26676,0.11077,0.03669,0.01777,2.41406,13.2751,2.76475,0.000567044,0.000567044,0.000567044
11,163.544,1.43694,2.03181,1.55619,0.21748,0.50826,0.09601,0.04696,1.61973,inf,2.24326,0.000564715,0.000564715,0.000564715
12,176.402,1.47996,2.00625,1.56981,0.42634,0.33657,0.16396,0.09541,1.5122,17.5443,1.85787,0.000562387,0.000562387,0.000562387
13,189.501,1.41247,1.94844,1.53841,0.51815,0.22624,0.17111,0.09608,1.29149,3.15386,1.69511,0.000560058,0.000560058,0.000560058
14,202.542,1.35906,1.95315,1.49458,0.40657,0.33548,0.22363,0.11654,1.5723,2.46013,1.7568,0.00055773,0.00055773,0.00055773
15,215.62,1.39516,1.92418,1.54476,0.5479,0.19645,0.10344,0.05907,1.66543,5.35229,1.94595,0.000555401,0.000555401,0.000555401
16,228.187,1.33082,1.90613,1.49894,0.47399,0.40074,0.22401,0.13645,1.32729,3.453,1.61456,0.000553073,0.000553073,0.000553073
17,241.286,1.32054,1.86807,1.47944,0.4459,0.42746,0.2226,0.12588,1.33015,3.90717,1.70635,0.000550744,0.000550744,0.000550744
18,253.81,1.34501,1.81813,1.48358,0.75,0.26691,0.27142,0.15764,1.25678,1.94055,1.53828,0.000548416,0.000548416,0.000548416
19,266.891,1.31042,1.7874,1.48105,0.47519,0.3072,0.19725,0.13219,1.24026,2.15754,1.56002,0.000546087,0.000546087,0.000546087
20,279.418,1.2814,1.81355,1.46441,0.45429,0.28429,0.27015,0.15021,1.41522,2.06115,1.63434,0.000543759,0.000543759,0.000543759
21,291.897,1.32588,1.76078,1.47936,0.48094,0.32216,0.25847,0.15707,1.35736,1.96298,1.67223,0.00054143,0.00054143,0.00054143
22,305.731,1.28549,1.79534,1.46342,0.50059,0.2886,0.22892,0.13495,1.45532,2.4336,1.71934,0.000539102,0.000539102,0.000539102
23,318.326,1.31602,1.73228,1.46487,0.33501,0.38826,0.25936,0.13935,1.51793,1.88904,1.70581,0.000536773,0.000536773,0.000536773
24,330.872,1.26972,1.64936,1.44576,0.56364,0.31652,0.30096,0.1793,1.21563,1.62883,1.53715,0.000534445,0.000534445,0.000534445
25,343.924,1.23113,1.65091,1.43484,0.55019,0.34878,0.28908,0.17839,1.20197,1.68694,1.51835,0.000532116,0.000532116,0.000532116
26,356.503,1.29432,1.65779,1.45358,0.60812,0.33882,0.3006,0.18599,1.13311,1.89982,1.48408,0.000529788,0.000529788,0.000529788
27,369.54,1.28055,1.70118,1.47131,0.58334,0.27221,0.32523,0.18491,1.34672,1.79495,1.61457,0.00052746,0.00052746,0.00052746
28,382.548,1.23262,1.65424,1.40841,0.62675,0.33554,0.30406,0.19456,1.14566,1.83605,1.45807,0.000525131,0.000525131,0.000525131
29,395.562,1.26458,1.65617,1.42806,0.43716,0.4086,0.28445,0.17038,1.23175,1.71984,1.50773,0.000522803,0.000522803,0.000522803
30,408.067,1.28911,1.78712,1.4486,0.41697,0.37088,0.27166,0.16005,1.22539,1.88996,1.47075,0.000520474,0.000520474,0.000520474
31,420.582,1.21512,1.58272,1.40955,0.43558,0.24956,0.20309,0.11954,1.59955,2.45885,1.86892,0.000518146,0.000518146,0.000518146
32,433.098,1.22985,1.60889,1.41736,0.45286,0.39602,0.33287,0.22318,1.18007,1.4799,1.48987,0.000515817,0.000515817,0.000515817
33,447.36,1.28341,1.59625,1.45044,0.50957,0.33918,0.28575,0.17653,1.24691,1.76348,1.53173,0.000513489,0.000513489,0.000513489
34,459.84,1.21895,1.57863,1.42916,0.60578,0.30396,0.33407,0.21688,1.18654,1.49068,1.47296,0.00051116,0.00051116,0.00051116
35,472.343,1.26558,1.58545,1.47145,0.6932,0.3719,0.33923,0.22695,1.0704,1.43556,1.41622,0.000508832,0.000508832,0.000508832
36,485.338,1.17654,1.45921,1.38648,0.47457,0.41912,0.31044,0.19063,1.18238,1.7176,1.48791,0.000506503,0.000506503,0.000506503
37,497.828,1.18587,1.49201,1.39266,0.41418,0.50144,0.35545,0.22891,1.10776,1.44417,1.46148,0.000504175,0.000504175,0.000504175
38,510.872,1.23081,1.49433,1.40469,0.5367,0.39855,0.35581,0.20632,1.27788,1.57216,1.55589,0.000501846,0.000501846,0.000501846
39,523.403,1.19398,1.49477,1.41947,0.53844,0.38975,0.35911,0.23957,1.07815,1.36705,1.39543,0.000499518,0.000499518,0.000499518
40,536.478,1.19744,1.469,1.40382,0.54688,0.06338,0.07684,0.03585,2.12519,4.4613,2.45405,0.000497189,0.000497189,0.000497189
41,548.96,1.14592,1.44415,1.3741,0.34853,0.49027,0.3118,0.18549,1.3558,1.73025,1.58306,0.000494861,0.000494861,0.000494861
42,561.482,1.14356,1.42459,1.38298,0.58511,0.42603,0.3895,0.27108,1.10771,1.41754,1.42025,0.000492532,0.000492532,0.000492532
43,574.509,1.13826,1.39814,1.36041,0.55157,0.46512,0.43459,0.27272,1.12213,1.34859,1.48153,0.000490204,0.000490204,0.000490204
44,588.761,1.11302,1.36115,1.35345,0.44553,0.42909,0.37533,0.25222,1.0685,1.44985,1.42856,0.000487875,0.000487875,0.000487875
45,601.324,1.1798,1.37746,1.38632,0.30898,0.4666,0.35845,0.22391,1.23379,1.46242,1.53637,0.000485547,0.000485547,0.000485547
46,613.838,1.16775,1.40143,1.38677,0.58424,0.40579,0.36081,0.22354,1.21467,1.50532,1.56578,0.000483218,0.000483218,0.000483218
47,626.363,1.15329,1.41602,1.3747,0.40888,0.46826,0.43726,0.28434,1.13054,1.39101,1.50714,0.00048089,0.00048089,0.00048089
48,639.367,1.1405,1.3578,1.38006,0.38429,0.42486,0.40789,0.27027,1.1426,1.4364,1.44508,0.000478561,0.000478561,0.000478561
49,651.868,1.10177,1.35492,1.37296,0.66896,0.43209,0.41079,0.24916,1.19559,1.41754,1.53708,0.000476233,0.000476233,0.000476233
50,664.382,1.09271,1.28941,1.34434,0.67301,0.33993,0.34351,0.2299,1.10859,1.43584,1.45299,0.000473904,0.000473904,0.000473904
51,676.931,1.11473,1.35499,1.35948,0.62628,0.32726,0.34457,0.23299,1.15974,1.57933,1.49961,0.000471576,0.000471576,0.000471576
52,689.496,1.11446,1.32912,1.34661,0.46854,0.47598,0.41992,0.27903,1.08282,1.28661,1.47875,0.000469248,0.000469248,0.000469248
53,702.043,1.11392,1.29484,1.35129,0.49444,0.42072,0.40939,0.27279,1.16765,1.47487,1.54118,0.000466919,0.000466919,0.000466919
54,714.576,1.05667,1.27399,1.29944,0.51269,0.41521,0.42009,0.26679,1.15879,1.40607,1.49616,0.000464591,0.000464591,0.000464591
55,728.332,1.08327,1.20917,1.33203,0.56436,0.39606,0.42974,0.2837,1.18904,1.36471,1.49568,0.000462262,0.000462262,0.000462262
56,740.841,1.10981,1.27031,1.34662,0.48561,0.37486,0.38257,0.23725,1.13901,1.47039,1.45131,0.000459934,0.000459934,0.000459934
57,753.337,1.0663,1.24158,1.31328,0.64631,0.34905,0.36765,0.24288,1.04963,1.39948,1.38849,0.000457605,0.000457605,0.000457605
58,765.857,1.07561,1.21508,1.3203,0.70672,0.36689,0.42322,0.29655,1.11109,1.30212,1.45456,0.000455277,0.000455277,0.000455277
59,778.834,1.06422,1.20488,1.30764,0.67793,0.4552,0.50453,0.35433,1.03616,1.20617,1.41853,0.000452948,0.000452948,0.000452948
60,791.816,1.06571,1.20703,1.31334,0.61418,0.47495,0.45986,0.30288,1.09043,1.29944,1.42346,0.00045062,0.00045062,0.00045062
61,804.367,1.03156,1.16101,1.29169,0.54553,0.44609,0.43251,0.28278,1.08508,1.40413,1.43176,0.000448291,0.000448291,0.000448291
62,816.874,1.04749,1.1362,1.30885,0.36458,0.52829,0.4303,0.30047,1.04481,1.2645,1.4003,0.000445963,0.000445963,0.000445963
63,829.408,1.0853,1.22488,1.35084,0.41569,0.48066,0.38096,0.26567,1.07848,1.43055,1.42517,0.000443634,0.000443634,0.000443634
64,841.928,1.03071,1.16198,1.30933,0.66643,0.42783,0.44915,0.28403,1.1846,1.33563,1.53887,0.000441306,0.000441306,0.000441306
65,854.541,1.03429,1.22886,1.2947,0.55715,0.47873,0.48288,0.3278,1.07499,1.30694,1.4315,0.000438977,0.000438977,0.000438977
66,868.311,1.05493,1.17716,1.31992,0.64227,0.37791,0.46905,0.32136,1.0936,1.20829,1.4355,0.000436649,0.000436649,0.000436649
