"","Group","Observed","Expected","SD","P","Scale","Response"
"19","Lifecycle",-0.000879675338201589,-0.00537634408602151,0.00352719029908866,0.202359308752738,100,"Abundance"
"21","Lifecycle",-0.00131246289219527,-0.00537634408602151,0.00354147894700478,0.251171055680428,250,"Abundance"
"23","Lifecycle",-0.000803769849758654,-0.00537634408602151,0.00354702521572081,0.197353128778332,500,"Abundance"
"25","Lifecycle",-0.000793080427788552,-0.00537634408602151,0.00354854052309094,0.196498758464338,750,"Abundance"
"27","Lifecycle",-0.000911695330025503,-0.00537634408602151,0.00354858375106019,0.208337706216252,1000,"Abundance"
"29","Lifecycle",-0.0027237992485513,-0.00537634408602151,0.00355082397308463,0.455050075171585,1500,"Abundance"
"31","Lifecycle",-0.00276169679315576,-0.00537634408602151,0.00355086042444476,0.461522656263192,2000,"Abundance"
"33","Lifecycle",-0.00053046243342801,-0.00537634408602151,0.00354731077867353,0.171916390249152,2500,"Abundance"
"35","Lifecycle",-0.000476199218352944,-0.00537634408602151,0.00354524552090924,0.16691839515076,3000,"Abundance"
"37","Brachycera",-0.000162136869160877,-0.00429184549356223,0.00278763959206327,0.138490525209523,100,"Abundance"
"38","Coleoptera",-0.00361466741029746,-0.00429184549356223,0.00269719795731328,0.801762113092457,100,"Abundance"
"39","Ephemeroptera",-0.00325308159917004,-0.00429184549356223,0.00142363573604837,0.4656006811734,100,"Abundance"
"40","Hemiptera",-0.00239506981356144,-0.00429184549356223,0.00230062247014445,0.409677129247812,100,"Abundance"
"41","Hymenoptera",-0.000516024505308985,-0.00429184549356223,0.0028232116491045,0.181085433555817,100,"Abundance"
"42","Nematocera",-0.00214063618337708,-0.00429184549356223,0.00283286204733384,0.44762727339103,100,"Abundance"
"43","Trichoptera",-0.000724648839390065,-0.00429184549356223,0.00272721158849681,0.190872824692883,100,"Abundance"
"44","Brachycera",-0.000134695904425774,-0.00429184549356223,0.00278811756073343,0.135955251255355,250,"Abundance"
"45","Coleoptera",-0.00495865595967556,-0.00429184549356223,0.00264179468884909,0.80072561412622,250,"Abundance"
"46","Ephemeroptera",-0.00325307981851207,-0.00429184549356223,0.00142363573604774,0.465599916434865,250,"Abundance"
"47","Hemiptera",-0.00197029005304122,-0.00429184549356223,0.00243542455600325,0.340466125894153,250,"Abundance"
"48","Hymenoptera",-0.000511641817380871,-0.00429184549356223,0.00282143492396906,0.180305170018244,250,"Abundance"
"49","Nematocera",-0.0020154590614689,-0.00429184549356223,0.00283293035858768,0.421659918961717,250,"Abundance"
"50","Trichoptera",-0.000691569819489728,-0.00429184549356223,0.00272762053545316,0.186857472045599,250,"Abundance"
"51","Brachycera",-0.000203079544129266,-0.00429184549356223,0.00278895210943453,0.142632447671219,500,"Abundance"
"52","Coleoptera",-0.00329158722989278,-0.00429184549356223,0.00271584529299253,0.712646136829111,500,"Abundance"
"53","Ephemeroptera",-0.00325307939034671,-0.00429184549356223,0.00142363573604767,0.46559973255097,500,"Abundance"
"54","Hemiptera",-0.000916314182146425,-0.00429184549356223,0.00264341341812379,0.201616621511002,500,"Abundance"
"55","Hymenoptera",-0.000341935992704137,-0.00429184549356223,0.00282477413062129,0.162020040187317,500,"Abundance"
"56","Nematocera",-0.00194760222346922,-0.00429184549356223,0.00279134569337997,0.401006238206139,500,"Abundance"
"57","Trichoptera",-0.00100900577446463,-0.00429184549356223,0.00278460533817104,0.238428203316105,500,"Abundance"
"58","Brachycera",-0.000177009674780956,-0.00429184549356223,0.00278600732701799,0.139684970725725,750,"Abundance"
"59","Coleoptera",-0.00293882001139749,-0.00429184549356223,0.00271409629529892,0.6181190827202,750,"Abundance"
"60","Ephemeroptera",-0.00325308135902465,-0.00429184549356223,0.00142363573604828,0.465600578038206,750,"Abundance"
