"","Response","Taxon","Effect.type","Explanatory","Estimate","Statistics","K","P","Signif","R2","AIC","Scale"
"1","Abundance","Brachycera","Fixed effects","(Intercept)",1.15981092281553,18.5433567527139,20,9.22781261181835e-77,"****",0.00955411577724996,1773.83407179139,100
"2","Abundance","Brachycera","Fixed effects","Area",0.652847599933367,7.47480865182523,20,7.73162724979461e-14,"****",0.00955411577724996,1773.83407179139,100
"3","Abundance","Brachycera","Random effects","Coordinates",NA,153.971505080149,20,0,"****",0.00955411577724996,1773.83407179139,100
"4","Abundance","Coleoptera","Fixed effects","(Intercept)",0.367174274456376,4.22237218878953,19,2.41744486543105e-05,"****",0.0919547392301406,1558.75057652838,100
"5","Abundance","Coleoptera","Fixed effects","Area",1.20160533019997,11.1209817687971,19,9.91745828450274e-29,"****",0.0919547392301406,1558.75057652838,100
"6","Abundance","Coleoptera","Random effects","Coordinates",NA,181.9917988187,19,0,"****",0.0919547392301406,1558.75057652838,100
"7","Abundance","Ephemeroptera","Fixed effects","(Intercept)",-2.1113161434138,-6.32231873054879,19,2.57667205938149e-10,"****",0.0232461990926618,10734.2833412361,100
"8","Abundance","Ephemeroptera","Fixed effects","Area",-0.407762215276343,-6.99163677551327,19,2.71697563086804e-12,"****",0.0232461990926618,10734.2833412361,100
"9","Abundance","Ephemeroptera","Random effects","Coordinates",NA,2518.91654994959,19,0,"****",0.0232461990926618,10734.2833412361,100
"10","Abundance","Hemiptera","Fixed effects","(Intercept)",-0.241695498119514,-2.06751118562939,19,0.0386860113001623,"*",0.732278623670655,1296.9178509857,100
"11","Abundance","Hemiptera","Fixed effects","Area",2.37028018186304,17.4030581727168,19,7.8213500227805e-68,"****",0.732278623670655,1296.9178509857,100
"12","Abundance","Hemiptera","Random effects","Coordinates",NA,655.244342551188,19,0,"****",0.732278623670655,1296.9178509857,100
"13","Abundance","Hymenoptera","Fixed effects","(Intercept)",-0.219945177811198,-1.88877582801929,18,0.0589218730191987,".",0.144551999266594,937.722277519003,100
"14","Abundance","Hymenoptera","Fixed effects","Area",1.15292621717194,7.68077769544307,18,1.58125674688994e-14,"****",0.144551999266594,937.722277519003,100
"15","Abundance","Hymenoptera","Random effects","Coordinates",NA,61.500496060698,18,2.78945625731275e-06,"****",0.144551999266594,937.722277519003,100
"16","Abundance","Nematocera","Fixed effects","(Intercept)",4.99889239271734,255.503357996234,20,0,"****",0.689647607900381,5851.71482987066,100
"17","Abundance","Nematocera","Fixed effects","Area",-3.11453944266289,-78.6470141324861,20,0,"****",0.689647607900381,5851.71482987066,100
"18","Abundance","Nematocera","Random effects","Coordinates",NA,3353.38891320595,20,0,"****",0.689647607900381,5851.71482987066,100
"19","Abundance","Trichoptera","Fixed effects","(Intercept)",0.725720844060526,7.22001727277036,19,5.19809713264812e-13,"****",0.250889252329418,774.138562287154,100
"20","Abundance","Trichoptera","Fixed effects","Area",-1.20179490362152,-6.87142633564468,19,6.35631129905789e-12,"****",0.250889252329418,774.138562287154,100
"21","Abundance","Trichoptera","Random effects","Coordinates",NA,92.0399390962705,19,0,"****",0.250889252329418,774.138562287154,100
"22","Abundance","Brachycera","Fixed effects","(Intercept)",1.00239100774393,13.7515985393875,20,4.98165168975812e-43,"****",0.0254016769915056,1753.56666136921,250
"23","Abundance","Brachycera","Fixed effects","Area",1.0026731086557,8.68632870037834,20,3.74340732449854e-18,"****",0.0254016769915056,1753.56666136921,250
"24","Abundance","Brachycera","Random effects","Coordinates",NA,167.2033745613,20,0,"****",0.0254016769915056,1753.56666136921,250
"25","Abundance","Coleoptera","Fixed effects","(Intercept)",0.20748725646243,2.10557187482281,19,0.035241557867174,"*",0.100840275403479,1550.81386181265,250
"26","Abundance","Coleoptera","Fixed effects","Area",1.60975924171951,11.2788016469847,19,1.67005393282643e-29,"****",0.100840275403479,1550.81386181265,250
"27","Abundance","Coleoptera","Random effects","Coordinates",NA,187.347376713555,19,0,"****",0.100840275403479,1550.81386181265,250
"28","Abundance","Ephemeroptera","Fixed effects","(Intercept)",-2.06988470889984,-6.15564427540591,19,7.47728889919198e-10,"****",0.023174258565918,10700.3499164001,250
"29","Abundance","Ephemeroptera","Fixed effects","Area",-0.697623832030595,-9.03461672205203,19,1.64578149682559e-19,"****",0.023174258565918,10700.3499164001,250
"30","Abundance","Ephemeroptera","Random effects","Coordinates",NA,2557.27291040732,19,0,"****",0.023174258565918,10700.3499164001,250
"31","Abundance","Hemiptera","Fixed effects","(Intercept)",-0.137550251217636,-1.21707683295802,19,0.223574984236471,"ns",0.72454390915811,1368.72063988619,250
"32","Abundance","Hemiptera","Fixed effects","Area",2.55720581667453,16.2617281972298,19,1.84460718795033e-59,"****",0.72454390915811,1368.72063988619,250
